address,state,measure,cmap,zoom,stroke_width,time_start,time_end,measurement_value,time_resolution,width,height,dpi,bleed,border,mat_color,colorspace,prefix,geo_range,flag,lat_min,lat_max,lon_min,lon_max,aspect,shape,lat_min_zoom,lat_max_zoom,lon_min_zoom,lon_max_zoom
"Michigan, United States of America",MI,tcdc,gist_yarg,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"41.696,48.191,-90.4185,-82.4184",skip,41.696,48.191,-90.4185,-82.4184,1.231732102,Rectangular,44.6935,45.1935,-86.66845,-86.16845
"Texas, United States of America",TX,tcdc,ocean_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"25.8371,36.5007,-106.646,-93.5083",skip,25.8371,36.5007,-106.646,-93.5083,1.232013579,Rectangular,30.9189,31.4189,-100.32715,-99.82715
"Louisiana, United States of America",LA,tcdc,gist_earth,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"28.9287,33.0197,-94.0434,-88.8165",skip,28.9287,33.0197,-94.0434,-88.8165,1.277658274,Rectangular,30.7242,31.2242,-91.67995,-91.17995
"Minnesota, United States of America",MN,tcdc,Greys,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"43.4993,49.3853,-97.2399,-89.4918",skip,43.4993,49.3853,-97.2399,-89.4918,1.316360856,Rectangular,46.1923,46.6923,-93.61585,-93.11585
"Wisconsin, United States of America",WI,tcdc,BuGn_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"42.4919,47.0808,-92.8893,-86.8052",skip,42.4919,47.0808,-92.8893,-86.8052,1.32582972,Rectangular,44.53635,45.03635,-90.09725,-89.59725
"Missouri, United States of America",MO,tcdc,winter_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"35.9042,40.6136,-95.7744,-89.0987",skip,35.9042,40.6136,-95.7744,-89.0987,1.417526649,Rectangular,38.0089,38.5089,-92.68655,-92.18655
"Arkansas, United States of America",AR,tcdc,Greys,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"33.0042,36.4996,-94.6192,-89.6419",skip,33.0042,36.4996,-94.6192,-89.6419,1.423957201,Rectangular,34.5019,35.0019,-92.38055,-91.88055
"West Virginia, United States of America",WV,tcdc,BrBG,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"37.2017,40.6378,-82.6444,-77.7189",skip,37.2017,40.6378,-82.6444,-77.7189,1.433456535,Rectangular,38.66975,39.16975,-80.43165,-79.93165
"South Carolina, United States of America",SC,tcdc,gist_stern_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"32.0374,35.2155,-83.3539,-78.5409",skip,32.0374,35.2155,-83.3539,-78.5409,1.514426859,Rectangular,33.37645,33.87645,-81.1974,-80.6974
"Hawaii, United States of America",HI,tcdc,BuGn_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"18.9117,22.2356,-160.2471,-154.8066",skip,18.9117,22.2356,-160.2471,-154.8066,1.636782093,Rectangular,20.32365,20.82365,-157.77685,-157.27685
"Wyoming, United States of America",WY,tcdc,BuPu_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"40.9946,45.006,-111.0563,-104.0518",skip,40.9946,45.006,-111.0563,-104.0518,1.746148477,Rectangular,42.7503,43.2503,-107.80405,-107.30405
"Colorado, United States of America",CO,tcdc,winter_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"36.9923,41.0035,-109.0604,-102.0415",skip,36.9923,41.0035,-109.0604,-102.0415,1.749825489,Rectangular,38.7479,39.2479,-105.80095,-105.30095
"New York, United States of America",NY,tcdc,CMRmap,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"40.496,45.0128,-79.762,-71.8562",skip,40.496,45.0128,-79.762,-71.8562,1.750309954,Rectangular,42.5044,43.0044,-76.0591,-75.5591
"Connecticut, United States of America",CT,tcdc,YlGnBu,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"40.9805,42.0504,-73.7279,-71.7872",skip,40.9805,42.0504,-73.7279,-71.7872,1.813907842,Rectangular,41.26545,41.76545,-73.00755,-72.50755
"Oregon, United States of America",OR,tcdc,gist_earth,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"41.992,46.2938,-124.5664,-116.4633",skip,41.992,46.2938,-124.5664,-116.4633,1.883653354,Rectangular,43.8929,44.3929,-120.76485,-120.26485
"Iowa, United States of America",IA,tcdc,coolwarm_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"40.3755,43.501,-96.6394,-90.1404",skip,40.3755,43.501,-96.6394,-90.1404,2.079347304,Rectangular,41.68825,42.18825,-93.6399,-93.1399
"Massachusetts, United States of America",MA,tcdc,gist_stern_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"41.2381,42.8868,-73.5081,-69.9282",skip,41.2381,42.8868,-73.5081,-69.9282,2.171347122,Rectangular,41.81245,42.31245,-71.96815,-71.46815
"South Dakota, United States of America",SD,tcdc,gist_yarg,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"42.4796,45.9455,-104.0577,-96.4364",skip,42.4796,45.9455,-104.0577,-96.4364,2.198938227,Rectangular,43.96255,44.46255,-100.49705,-99.99705
"Washington, United States of America",WA,tcdc,Blues,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"45.5437,49.0049,-124.7494,-116.9161",skip,45.5437,49.0049,-124.7494,-116.9161,2.263174622,Rectangular,47.0243,47.5243,-121.08275,-120.58275
"Pennsylvania, United States of America",PA,tcdc,gist_heat_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"39.7199,42.2695,-80.5195,-74.6896",skip,39.7199,42.2695,-80.5195,-74.6896,2.286593976,Rectangular,40.7447,41.2447,-77.85455,-77.35455
"Alaska, United States of America",AK,tcdc,gist_stern_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"51.2097,71.441,-179.1505,-129.9795",skip,51.2097,71.441,-179.1505,-129.9795,2.430441939,Rectangular,61.07535,61.57535,-154.815,-154.315
"North Dakota, United States of America",ND,tcdc,coolwarm_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"45.935,49.0007,-104.0489,-96.5548",skip,45.935,49.0007,-104.0489,-96.5548,2.444498809,Rectangular,47.21785,47.71785,-100.55185,-100.05185
"Maryland, United States of America",MD,tcdc,gist_ncar,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"37.912,39.7231,-79.4872,-75.0492",skip,37.912,39.7231,-79.4872,-75.0492,2.450444481,Rectangular,38.56755,39.06755,-77.5182,-77.0182
