address,state,measure,cmap,zoom,stroke_width,time_start,time_end,measurement_value,time_resolution,width,height,dpi,bleed,border,colorspace,prefix,geo_range,flag
"North Dakota, United States of America",North Dakota,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"45.935,49.0007,-104.0489,-96.5548",skip
"Ohio, United States of America",Ohio,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"38.4031,41.9775,-84.8202,-80.5187",skip
"Oklahoma, United States of America",Oklahoma,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"33.616,37.0023,-103.0026,-94.4314",skip
"Oregon, United States of America",Oregon,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"41.992,46.2938,-124.5664,-116.4633",skip
"Pennsylvania, United States of America",Pennsylvania,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"39.7199,42.2695,-80.5195,-74.6896",skip
"Rhode Island, United States of America",Rhode Island,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"41.1461,42.0191,-71.8865,-71.1207",skip
"South Carolina, United States of America",South Carolina,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"32.0374,35.2155,-83.3539,-78.5409",skip
"South Dakota, United States of America",South Dakota,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"42.4796,45.9455,-104.0577,-96.4364",skip
"Tennessee, United States of America",Tennessee,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"34.9832,36.6783,-90.3105,-81.6469",outline_only
"Texas, United States of America",Texas,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"25.8371,36.5007,-106.646,-93.5083",skip
"Utah, United States of America",Utah,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"36.9978,42.0017,-114.0531,-109.0415",skip
"Vermont, United States of America",Vermont,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"42.7268,45.0165,-73.4382,-71.4651",skip
"Virginia, United States of America",Virginia,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"36.5408,39.4659,-83.6752,-75.2418",skip
"Washington, United States of America",Washington,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"45.5437,49.0049,-124.7494,-116.9161",skip
"West Virginia, United States of America",West Virginia,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"37.2017,40.6378,-82.6444,-77.7189",skip
"Wisconsin, United States of America",Wisconsin,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"42.4919,47.0808,-92.8893,-86.8052",skip
"Wyoming, United States of America",Wyoming,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"40.9946,45.006,-111.0563,-104.0518",skip
