address,state,measure,cmap,zoom,stroke_width,time_start,time_end,measurement_value,time_resolution,width,height,dpi,bleed,mat_width,pad_width,mat_color,zoom_px,colorspace,prefix,geo_range,flag,lat_min,lat_max,lon_min,lon_max,aspect,shape
"Minnesota, United States of America",MN,tcdc,Greys,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"43.4993,49.3853,-97.2399,-89.4918",,43.4993,49.3853,-97.2399,-89.4918,1.316360856,Rectangular
"Wisconsin, United States of America",WI,tcdc,BuGn_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"42.4919,47.0808,-92.8893,-86.8052",,42.4919,47.0808,-92.8893,-86.8052,1.32582972,Rectangular
"Missouri, United States of America",MO,tcdc,winter_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"35.9042,40.6136,-95.7744,-89.0987",,35.9042,40.6136,-95.7744,-89.0987,1.417526649,Rectangular
"Arkansas, United States of America",AR,tcdc,Greys,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"33.0042,36.4996,-94.6192,-89.6419",,33.0042,36.4996,-94.6192,-89.6419,1.423957201,Rectangular
"West Virginia, United States of America",WV,tcdc,BrBG,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"37.2017,40.6378,-82.6444,-77.7189",,37.2017,40.6378,-82.6444,-77.7189,1.433456535,Rectangular
"South Carolina, United States of America",SC,tcdc,gist_stern_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"32.0374,35.2155,-83.3539,-78.5409",,32.0374,35.2155,-83.3539,-78.5409,1.514426859,Rectangular
"Hawaii, United States of America",HI,tcdc,BuGn_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"18.9117,22.2356,-160.2471,-154.8066",,18.9117,22.2356,-160.2471,-154.8066,1.636782093,Rectangular
"Wyoming, United States of America",WY,tcdc,BuPu_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"40.9946,45.006,-111.0563,-104.0518",,40.9946,45.006,-111.0563,-104.0518,1.746148477,Rectangular
"Colorado, United States of America",CO,tcdc,winter_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"36.9923,41.0035,-109.0604,-102.0415",,36.9923,41.0035,-109.0604,-102.0415,1.749825489,Rectangular
"New York, United States of America",NY,tcdc,CMRmap,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"40.496,45.0128,-79.762,-71.8562",,40.496,45.0128,-79.762,-71.8562,1.750309954,Rectangular
