address,state,measure,cmap,zoom,stroke_width,time_start,time_end,measurement_value,time_resolution,width,height,dpi,bleed,border,mat_color,colorspace,prefix,geo_range,flag
"North Carolina, United States of America",NC,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"33.8401,36.5883,-84.3217,-75.4604",
"North Dakota, United States of America",ND,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.935,49.0007,-104.0489,-96.5548",
"Ohio, United States of America",OH,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"38.4031,41.9775,-84.8202,-80.5187",
"Oklahoma, United States of America",OK,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"33.616,37.0023,-103.0026,-94.4314",
"Oregon, United States of America",OR,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"41.992,46.2938,-124.5664,-116.4633",
"Pennsylvania, United States of America",PA,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"39.7199,42.2695,-80.5195,-74.6896",
"Rhode Island, United States of America",RI,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"41.1461,42.0191,-71.8865,-71.1207",
"South Carolina, United States of America",SC,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"32.0374,35.2155,-83.3539,-78.5409",
"South Dakota, United States of America",SD,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"42.4796,45.9455,-104.0577,-96.4364",
"Tennessee, United States of America",TN,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"34.9832,36.6783,-90.3105,-81.6469",
"Texas, United States of America",TX,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"25.8371,36.5007,-106.646,-93.5083",
"Utah, United States of America",UT,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"36.9978,42.0017,-114.0531,-109.0415",
"Vermont, United States of America",VT,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"42.7268,45.0165,-73.4382,-71.4651",
"Virginia, United States of America",VA,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"36.5408,39.4659,-83.6752,-75.2418",
"Washington, United States of America",WA,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"West Virginia, United States of America",WV,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"37.2017,40.6378,-82.6444,-77.7189",
"Wisconsin, United States of America",WI,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"42.4919,47.0808,-92.8893,-86.8052",
"Wyoming, United States of America",WY,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"40.9946,45.006,-111.0563,-104.0518",
